Code zone (FAO),Zone,dispo_calorique_totale_kcal_personne_jour,dispo_gras_g_personne_jour,dispo_proteique_totale_g_personne_jour,dispo_interieure_ktonnes,exportations_ktonnes,importations_ktonnes,pertes_ktonnes,production_ktonnes,variation_stock_ktonnes,population,nb_sousalimentes,dispo_calorique_totale_pays_kcal_jour,taux_sousnutrition_pct,taux_couverture_kcal_pct,taux_couverture_prot_pct,taux_autosuffisance_pct,taux_dependance_import_pct,taux_pertes_pct,pop_nourrissable_theorique
1,Arménie,3129.27,108.96,103.16,4079.0,329.0,1502.0,186.0,2995.0,1.0,2943390.0,73584.75,9210662025.3,2.5,125.1708,166.38709677419354,73.42485903407699,36.82275067418485,4.559941162049522,3684264.8101199996
2,Afghanistan,2314.64,43.32,62.550000000000004,19907.0,1622.0,7124.0,1389.0,14483.0,1.0,41454760.0,12400000.0,95952845686.4,29.912125893383536,92.58559999999999,100.88709677419357,72.75330285829106,35.78640679158085,6.977445119807103,38381138.27456
3,Albanie,3237.8,115.37,113.94,5127.0,264.0,1257.0,341.0,4228.0,1.0,2811660.0,200000.0,9103592748.0,7.113235597476224,129.512,183.77419354838707,82.46537936415056,24.51726155646577,6.651062999804955,3641437.0992
4,Algérie,3395.98,101.78,93.58,52545.0,477.0,20431.0,3914.0,31110.0,-22.0,46164220.0,1154105.5,156772767835.6,2.5,135.8392,150.93548387096774,59.20639451898373,38.88286230849748,7.4488533637834236,62709107.13424
7,Angola,2399.32,49.56,47.45,35111.0,66.0,2660.0,2879.0,31844.0,2.0,36749910.0,6800000.0,88174794061.20001,18.503446675107504,95.9728,76.53225806451613,90.6952237190624,7.57597334168779,8.199709492751559,35269917.62448
8,Antigua-et-Barbuda,2544.25,104.67,98.1,113.0,0.0,102.0,0.0,17.0,0.0,93320.0,,237429410.0,,101.77000000000001,158.2258064516129,15.04424778761062,90.2654867256637,0.0,94971.764
9,Argentine,3360.45,136.76,121.53999999999999,126866.0,47803.0,12112.0,3449.0,160239.0,17.0,45538400.0,1400000.0,153029516280.0,3.074328478822269,134.418,196.03225806451613,126.30570838522534,9.547081172260494,2.718616492992606,61211806.512
10,Australie,3561.94,159.06,125.0,81562.0,62026.0,10503.0,2984.0,139242.0,69.0,26451120.0,661278.0,94217302372.8,2.5,142.4776,201.61290322580646,170.7192074740688,12.877320320737597,3.658566489296486,37686920.94912
11,Autriche,3755.9300000000003,186.88,108.47,22500.0,8757.0,13466.0,639.0,17899.0,19.0,9130430.0,228260.75,34293255949.9,2.5,150.2372,174.9516129032258,79.55111111111111,59.84888888888889,2.8400000000000003,13717302.37996
12,Bahamas,2672.37,117.39,104.77,631.0,9.0,447.0,9.0,200.0,0.0,399440.0,,1067451472.8,,106.8948,168.98387096774192,31.695721077654515,70.83993660855784,1.4263074484944533,426980.58911999996
13,Bahreïn,3422.84,135.22,99.78,1571.0,329.0,1721.0,30.0,119.0,-23.0,1569670.0,,5372729262.8,,136.9136,160.93548387096774,7.574793125397836,109.54805856142585,1.9096117122851686,2149091.70512
